Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR33578288,AMPLICON,600,230544063,PRJNA1242518,SAMN47595368,Metagenome or environmental,167310803,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808335,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kds 0484,not applicable,missing,S86,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S86,Human feces,SRP585476,not applicable
SRR33578289,AMPLICON,600,74856263,PRJNA1242518,SAMN47595367,Metagenome or environmental,54347051,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808334,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,lmk 6003,not applicable,missing,S85,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S85,Human feces,SRP585476,not applicable
SRR33578290,AMPLICON,600,56229855,PRJNA1242518,SAMN47595366,Metagenome or environmental,40748295,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808333,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kma 9685,not applicable,missing,S84,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S84,Human feces,SRP585476,not applicable
SRR33578291,AMPLICON,600,70941896,PRJNA1242518,SAMN47595365,Metagenome or environmental,51424579,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808332,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kky 3448,not applicable,missing,S83,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S83,Human feces,SRP585476,not applicable
SRR33578292,AMPLICON,601,86733741,PRJNA1242518,SAMN47595293,Metagenome or environmental,63209228,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808331,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kjs8172,not applicable,missing,S11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S11,Human feces,SRP585476,not applicable
SRR33578293,AMPLICON,600,71740947,PRJNA1242518,SAMN47595364,Metagenome or environmental,51577361,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808330,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kjy 4619,not applicable,missing,S82,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S82,Human feces,SRP585476,not applicable
SRR33578294,AMPLICON,600,69920508,PRJNA1242518,SAMN47595363,Metagenome or environmental,50148719,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808329,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kig 1128,not applicable,missing,S81,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S81,Human feces,SRP585476,not applicable
SRR33578295,AMPLICON,600,66934018,PRJNA1242518,SAMN47595362,Metagenome or environmental,48353748,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808328,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kjc 3719,not applicable,missing,S80,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S80,Human feces,SRP585476,not applicable
SRR33578296,AMPLICON,600,69858008,PRJNA1242518,SAMN47595361,Metagenome or environmental,50896400,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808327,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ujy 7370,not applicable,missing,S79,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S79,Human feces,SRP585476,not applicable
SRR33578297,AMPLICON,600,69821807,PRJNA1242518,SAMN47595360,Metagenome or environmental,51129007,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808326,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ojs 8036,not applicable,missing,S78,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S78,Human feces,SRP585476,not applicable
SRR33578298,AMPLICON,600,88511581,PRJNA1242518,SAMN47595359,Metagenome or environmental,64318573,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808325,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,uks 3323,not applicable,missing,S77,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S77,Human feces,SRP585476,not applicable
SRR33578299,AMPLICON,599,87704128,PRJNA1242518,SAMN47595358,Metagenome or environmental,63928358,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808324,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,pss 2664,not applicable,missing,S76,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S76,Human feces,SRP585476,not applicable
SRR33578300,AMPLICON,599,64972643,PRJNA1242518,SAMN47595357,Metagenome or environmental,47535679,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808323,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ejy 8748,not applicable,missing,S75,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S75,Human feces,SRP585476,not applicable
SRR33578301,AMPLICON,598,96330689,PRJNA1242518,SAMN47595356,Metagenome or environmental,69591029,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808322,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,jis 2220,not applicable,missing,S74,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S74,Human feces,SRP585476,not applicable
SRR33578302,AMPLICON,600,78665886,PRJNA1242518,SAMN47595355,Metagenome or environmental,56698695,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808321,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,psh 8229,not applicable,missing,S73,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S73,Human feces,SRP585476,not applicable
SRR33578303,AMPLICON,600,63925268,PRJNA1242518,SAMN47595292,Metagenome or environmental,46078053,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808320,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,jgj5058,not applicable,missing,S10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S10,Human feces,SRP585476,not applicable
SRR33578304,AMPLICON,600,68346206,PRJNA1242518,SAMN47595354,Metagenome or environmental,49725429,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808319,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,bjc 8104,not applicable,missing,S72,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S72,Human feces,SRP585476,not applicable
SRR33578305,AMPLICON,600,78055548,PRJNA1242518,SAMN47595353,Metagenome or environmental,56431095,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808318,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ksh 9661,not applicable,missing,S71,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S71,Human feces,SRP585476,not applicable
SRR33578306,AMPLICON,599,78578600,PRJNA1242518,SAMN47595352,Metagenome or environmental,57319303,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808317,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kkb 7223,not applicable,missing,S70,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S70,Human feces,SRP585476,not applicable
SRR33578307,AMPLICON,600,97966525,PRJNA1242518,SAMN47595351,Metagenome or environmental,71599852,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808316,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kjh 5005,not applicable,missing,S69,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S69,Human feces,SRP585476,not applicable
SRR33578308,AMPLICON,599,107134573,PRJNA1242518,SAMN47595350,Metagenome or environmental,77788208,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808315,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,phs 3636,not applicable,missing,S68,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S68,Human feces,SRP585476,not applicable
SRR33578309,AMPLICON,600,72318507,PRJNA1242518,SAMN47595349,Metagenome or environmental,52297045,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808314,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,udg 2881,not applicable,missing,S67,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S67,Human feces,SRP585476,not applicable
SRR33578310,AMPLICON,600,65446663,PRJNA1242518,SAMN47595348,Metagenome or environmental,47231214,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808313,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,who 1097,not applicable,missing,S66,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S66,Human feces,SRP585476,not applicable
SRR33578311,AMPLICON,600,80646006,PRJNA1242518,SAMN47595347,Metagenome or environmental,57696269,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808312,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ksl 7463,not applicable,missing,S65,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S65,Human feces,SRP585476,not applicable
SRR33578312,AMPLICON,600,51754005,PRJNA1242518,SAMN47595346,Metagenome or environmental,37263784,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808311,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,khc 0195,not applicable,missing,S64,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S64,Human feces,SRP585476,not applicable
SRR33578313,AMPLICON,600,56468057,PRJNA1242518,SAMN47595345,Metagenome or environmental,40702349,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808310,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ybh 7281,not applicable,missing,S63,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S63,Human feces,SRP585476,not applicable
SRR33578314,AMPLICON,600,42806799,PRJNA1242518,SAMN47595291,Metagenome or environmental,30977580,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808309,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,hsc6343,not applicable,missing,S08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S08,Human feces,SRP585476,not applicable
SRR33578315,AMPLICON,600,68453148,PRJNA1242518,SAMN47595344,Metagenome or environmental,49861139,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808308,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,jbg 2701,not applicable,missing,S62,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S62,Human feces,SRP585476,not applicable
SRR33578316,AMPLICON,600,71106728,PRJNA1242518,SAMN47595343,Metagenome or environmental,51211556,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808307,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,sdw 6496,not applicable,missing,S61,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S61,Human feces,SRP585476,not applicable
SRR33578317,AMPLICON,600,47921594,PRJNA1242518,SAMN47595342,Metagenome or environmental,34729618,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808306,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ckh 7508,not applicable,missing,S60,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S60,Human feces,SRP585476,not applicable
SRR33578318,AMPLICON,600,76457466,PRJNA1242518,SAMN47595341,Metagenome or environmental,55530956,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808305,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,ksy 0885,not applicable,missing,S59,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S59,Human feces,SRP585476,not applicable
SRR33578319,AMPLICON,600,62452995,PRJNA1242518,SAMN47595340,Metagenome or environmental,44956071,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808304,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kjr 2931,not applicable,missing,S58,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S58,Human feces,SRP585476,not applicable
SRR33578320,AMPLICON,600,67881687,PRJNA1242518,SAMN47595339,Metagenome or environmental,48672096,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808303,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,kkj 9565,not applicable,missing,S57,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S57,Human feces,SRP585476,not applicable
SRR33578321,AMPLICON,600,60384938,PRJNA1242518,SAMN47595338,Metagenome or environmental,43489270,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808302,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,knj 1111,not applicable,missing,S56,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S56,Human feces,SRP585476,not applicable
SRR33578322,AMPLICON,600,56686703,PRJNA1242518,SAMN47595337,Metagenome or environmental,40626266,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808301,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,sjj 5604,not applicable,missing,S55,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S55,Human feces,SRP585476,not applicable
SRR33578323,AMPLICON,599,82846579,PRJNA1242518,SAMN47595336,Metagenome or environmental,60008284,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808300,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,cwj 7550,not applicable,missing,S54,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S54,Human feces,SRP585476,not applicable
SRR33578324,AMPLICON,600,75925353,PRJNA1242518,SAMN47595335,Metagenome or environmental,54815614,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808299,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,jsk 3133,not applicable,missing,S53,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S53,Human feces,SRP585476,not applicable
SRR33578325,AMPLICON,600,54331130,PRJNA1242518,SAMN47595290,Metagenome or environmental,39709877,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808298,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,lyn5638,not applicable,missing,S06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:20:00Z,1,S06,Human feces,SRP585476,not applicable
SRR33578326,AMPLICON,599,150282521,PRJNA1242518,SAMN47595334,Metagenome or environmental,108741149,KOOKMIN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX28808297,South Korea,Asia,South Korea: Seoul,Homo sapiens,Illumina MiSeq,jms 3899,not applicable,missing,S52,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T05:21:00Z,1,S52,Human feces,SRP585476,not applicable
